,context,e1,r,e2,label,score
0,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'athletehomestadium_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteplayssportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague']]",athlete_garrett_olson,athleteplaysinleague,sportsleague_mlb,+,0.9105769395828247
1,"[['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'athletehomestadium_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'agentcompeteswithagent_inv', 'agent', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'agentcollaborateswithagent', 'agent', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'personbelongstoorganization_inv', 'person', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague']]",athlete_mike_piazza,athleteplaysinleague,sportsleague_mlb,+,0.8589661717414856
2,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteplayssportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague']]",athlete_jake_westbrook,athleteplaysinleague,sportsleague_mlb,+,0.8892518281936646
3,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteplayssportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague']]",athlete_taylor_tankersley,athleteplaysinleague,sportsleague_mlb,+,0.8892518281936646
4,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamalsoknownas_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteplayssportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_aramis_ramirez,athleteplaysinleague,sportsleague_mlb,+,0.938123345375061
5,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'subpartoforganization_inv', 'sportsleague'], ['athlete', 'athleteinjuredhisbodypart', 'bodypart', 'athleteinjuredhisbodypart_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'subpartoforganization_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteinjuredhisbodypart', 'bodypart', 'athleteinjuredhisbodypart_inv', 'athlete', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysinleague', 'sportsleague', 'agentcompeteswithagent', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysinleague', 'sportsleague', 'agentcompeteswithagent_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'subpartoforganization_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague']]",athlete_steve_blake,athleteplaysinleague,sportsleague_nba,+,0.7962573766708374
6,"[['coach', 'coachwontrophy', 'awardtrophytournament', 'teamwontrophy_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'teamwontrophy_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'teamwontrophy_inv', 'sportsteam', 'agentcontrols', 'sportsleague'], ['coach', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'teamwontrophy_inv', 'sportsteam', 'agentcollaborateswithagent_inv', 'sportsleague'], ['coach', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'agentactsinlocation_inv', 'sportsleague'], ['coach', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'coachwontrophy_inv', 'coach', 'personbelongstoorganization', 'sportsleague'], ['coach', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['coach', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'athletewinsawardtrophytournament_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'coachwontrophy_inv', 'coach', 'coachesinleague', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'coachwontrophy_inv', 'coach', 'organizationhiredperson_inv', 'sportsleague'], ['coach', 'coachwontrophy', 'awardtrophytournament', 'coachwontrophy_inv', 'coach', 'athleteplaysinleague', 'sportsleague']]",coach_justin_miller,athleteplaysinleague,sportsleague_nfl,+,0.5218498110771179
7,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'agentcollaborateswithagent_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague']]",athlete_reggie_nelson,athleteplaysinleague,sportsleague_nfl,+,0.7526355385780334
8,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague', 'agentcompeteswithagent_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysinleague', 'sportsleague', 'agentcompeteswithagent', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'agentcollaborateswithagent_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'agentcompeteswithagent', 'agent', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'organizationhiredperson', 'person', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'coachesteam_inv', 'coach', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'worksfor_inv', 'person', 'organizationhiredperson_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysinleague', 'sportsleague', 'agentcompeteswithagent_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcollaborateswithagent_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'athletehomestadium_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcollaborateswithagent_inv', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague', 'agentcompeteswithagent', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'athletehomestadium_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'worksfor_inv', 'person', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'coachesteam_inv', 'coach', 'organizationhiredperson_inv', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'personbelongstoorganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'agentcompeteswithagent_inv', 'agent', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'subpartoforganization', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'subpartoforganization', 'sportsleague']]",athlete_joseph_addai,athleteplaysinleague,sportsleague_nfl,+,0.930601954460144
9,"[['personmexico', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'athleteledsportsteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'personbelongstoorganization_inv', 'person', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'sportsleague'], ['personmexico', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteplayssportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['personmexico', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['personmexico', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['personmexico', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['personmexico', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'sportsleague'], ['personmexico', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['personmexico', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'athleteplaysinleague', 'sportsleague'], ['personmexico', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['personmexico', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",personmexico_cody_ross,athleteplaysinleague,sportsleague_mlb,+,0.9570595622062683
